NAME	TITLE	SCORE	
Mdm4		1.8863944	
Tmem94		1.8849015	
Sgk1		1.8832524	
Utp23		1.8825353	
Morf4l1		1.8804648	
Irgm1		1.8803557	
Cysrt1		1.8788608	
Zdhhc3		1.8778894	
Parp6		1.8766369	
Bod1		1.8754394	
Runx2		1.8734196	
Heca		1.872249	
Atp5mc1		1.870753	
Mapk6		1.8642658	
Gga1		1.8636278	
G6pdx		1.8605423	
Ctdspl		1.859562	
Sh3bp1		1.8593458	
Glrx3		1.8566732	
Ppan		1.8562144	
Mt2		1.8544679	
Nod2		1.8542826	
Garin4		1.852921	
Mmp28		1.852814	
Ifi205		1.8487823	
Mesd		1.8464496	
Itm2c		1.8398868	
Tent5b		1.8386116	
Ak3		1.8385482	
Mmp7		1.8378142	
Maea		1.8377892	
Zyx		1.8336132	
Nt5m		1.8333343	
Magoh		1.8325405	
Sco2		1.8325154	
Arhgap10		1.8291141	
Taok3		1.8284476	
Mmp23		1.8274691	
Cmpk2		1.827095	
Rbp1		1.8252888	
Kif1c		1.8250233	
Paox		1.8220735	
Dipk1a		1.8208941	
Foxc1		1.819803	
Eif3g		1.8186616	
Tmem256		1.8183765	
Ncdn		1.818274	
Park7		1.8180956	
Stard10		1.8169343	
Nadk		1.8162313	
Arpc4		1.8161017	
Tuba8		1.8146366	
Vsig10		1.8117265	
Mad2l2		1.8101693	
Pttg1ip		1.809612	
Timm17a		1.8093903	
Ifrd1		1.8092272	
Tgm2		1.8091487	
Cfdp1		1.8090951	
Mmp14		1.808544	
Gprc5a		1.8085233	
Pigyl		1.8083152	
Ahsa1		1.8054658	
Rest		1.8048106	
Crip1		1.8035033	
Arrdc4		1.8028424	
Pomp		1.8026226	
Rab11fip5		1.8017974	
Bcl2l13		1.8001635	
Bmpr1a		1.7974504	
Cbfa2t2		1.7933359	
Nop16		1.7901309	
Rassf7		1.7876972	
Rps17		1.7855787	
Crk		1.7849146	
Pfn1		1.7838699	
Ran		1.7812642	
Anp32a		1.7812294	
Smurf1		1.779709	
Ap2b1		1.7791241	
Tjp2		1.7768593	
Elk3		1.7766593	
Tbc1d2b		1.775871	
Bcl7c		1.7757797	
Eif4a1		1.7745101	
Snrpd1		1.7731032	
Capn2		1.7730956	
Ncln		1.7720962	
Plekha6		1.7710258	
Crybg3		1.7693161	
Cdc42ep1		1.7685541	
Litaf		1.7674125	
Mark3		1.7660954	
Glul		1.7646004	
Mex3d		1.7636176	
Ctdsp1		1.7634778	
Tmem109		1.7631521	
Nedd4		1.7628319	
Skint11		1.7604301	
Gas6		1.7603285	
Rpl41		1.7583544	
Kbtbd2		1.7570494	
Lynx1		1.7564422	
Cstpp1		1.7554097	
Angptl4		1.752462	
Ddx24		1.750787	
Uqcrb		1.7493498	
Mapkapk3		1.748346	
Bcar3		1.7469598	
Sra1		1.7467433	
Klf13		1.7452534	
Arhgef5		1.7448043	
Dnlz		1.7445291	
Arpin		1.7438228	
Plxna1		1.7438111	
Thbs2		1.740779	
Tnfrsf1a		1.739862	
C1qbp		1.7395535	
Babam2		1.7393235	
F11r		1.7391088	
Ifnar2		1.7389628	
Mark2		1.7385327	
Ifi44l		1.7384194	
Bcl2l15		1.7376986	
Olfml3		1.7374995	
Swi5		1.7369009	
Cxadr		1.7357002	
Ccdc3		1.7337234	
Rnf217		1.7336789	
Arap2		1.7327476	
Cfl1		1.7322327	
Ankrd50		1.7307754	
Akt1		1.7288862	
Znhit1		1.7288787	
Fitm2		1.7288607	
Mphosph10		1.7284462	
Mgat1		1.7267909	
Dus1l		1.7265909	
Slc38a2		1.7265594	
Nfkbiz		1.7255708	
Zc3h7b		1.7228862	
Cct3		1.7221403	
Fosl1		1.7211652	
Aida		1.7209233	
Csrp1		1.7194717	
Prkce		1.7190899	
Igfbp3		1.7176075	
Taf10		1.7163098	
Klc1		1.7144876	
Ints9		1.7130663	
Adgrg1		1.7127512	
Dbnl		1.7121308	
Hdac7		1.7091199	
Dapl1		1.7079757	
Pycr3		1.7068269	
Plet1		1.7067907	
Tnpo2		1.7055025	
Ggct		1.7043537	
Psmb7		1.7041358	
Naa20		1.703539	
