external_gene_name,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Hif1a,0.966,0.03400000000000003,3.3468030258307184,0.00062168844,0.00016066624,0.0,0.25,2.2738907,2.3841777,1.1089222,-2.0549564,5.8999395,3.9792626728110503,1.7052617580561955,0.8755760368663653,0.6302584334412137,6.216151253222338,1.5066651120720287,True,2 vs Rest,2,Rest
Nfkbia,0.9658,0.03420000000000001,3.3407308473273742,0.00042828842,0.0017243795,0.0,0.25,-1.8620251,-1.9657297,0.8679179,-4.1864214,1.6640797,3.092165898617505,25.35471430470926,0.8041474654377925,0.9682166762711347,4.829189978051929,19.22285804973023,True,2 vs Rest,2,Rest
Sh3pxd2b,0.9656,0.034399999999999986,3.3346928250625925,4.6445744e-05,2.2882114e-05,0.0,0.25,1.9779894,2.082735,1.6860869,-3.4371471,6.8461304,0.29953917050691203,0.1555476749855963,0.22811059907834064,0.11130812536016894,0.49238954034206467,0.18294581243763333,True,2 vs Rest,2,Rest
Vmn2r95,0.9656,0.034399999999999986,3.3346928250625925,0.00012197584,3.0242836e-05,0.0,0.25,2.6603274,2.8429818,1.4128476,-2.5560608,7.325281,0.4792626728110596,0.2514739128507523,0.23963133640552953,0.17731282415001054,0.7754564820176629,0.2679971995304833,True,2 vs Rest,2,Rest
Tns3,0.9656,0.034399999999999986,3.3346928250625925,0.00029615688,8.465216e-05,0.0,0.25,2.0673203,2.1842446,0.9710197,-1.5976562,5.427601,1.8317972350230418,0.7696263132231217,0.7258064516129061,0.42306839842192584,2.978922399217677,0.7261515437880406,True,2 vs Rest,2,Rest
Fkbp9,0.9654,0.034599999999999964,3.3286885625038165,8.060577e-05,2.7097994e-05,0.0,0.25,1.7619059,1.7736764,0.8865747,-1.7576752,5.1899757,0.47695852534562133,0.20466332727514938,0.338709677419354,0.15155813644222144,0.7069568908991397,0.1822114147681764,True,2 vs Rest,2,Rest
Copz2,0.9652,0.03480000000000005,3.322717669974713,0.00025001142,6.145273e-05,0.0,0.25,2.5517273,2.700121,1.3390293,-2.8098907,6.575204,1.442396313364057,0.5338889135156815,0.6612903225806468,0.27350503125139153,2.1920420991541953,0.4942218003056739,True,2 vs Rest,2,Rest
Vwa1,0.965,0.03500000000000003,3.316779764498021,9.6355536e-05,1.9792153e-05,0.0,0.25,3.2181537,3.4927607,1.5988578,-1.8115063,7.680216,0.6313364055299541,0.14411099782792058,0.4101382488479251,0.10027040205683076,1.0430538594978769,0.1688098409510118,True,2 vs Rest,2,Rest
Bst2,0.965,0.03500000000000003,3.316779764498021,0.0008512068,0.00026111156,0.0,0.25,2.1943328,2.289997,1.334958,-2.4810085,6.6598616,5.55069124423962,3.0748703399967714,0.9262672811059977,0.6127044638503626,8.526487138723267,2.583096537561871,True,2 vs Rest,2,Rest
Il11ra3,0.9648,0.03520000000000001,3.310874469642843,0.00011822729,0.0011131599,0.0,0.25,-2.7526112,-2.9238,1.6103044,-6.8575087,2.9408865,0.1774193548387096,16.15129216720461,0.1382488479262673,0.8237067245888757,0.2810842249526699,11.805944905044457,True,2 vs Rest,2,Rest
Pim1,0.9648,0.03520000000000001,3.310874469642843,4.8345708e-05,0.00017517278,0.0,0.25,-1.774468,-1.8084168,0.9146465,-4.929634,1.7303867,0.16129032258064505,2.1968172348059776,0.11059907834101386,0.6505164236003524,0.22079203617640838,1.8345251403235898,True,2 vs Rest,2,Rest
Gpr27,0.9644,0.035599999999999965,3.2991602379193363,4.0898136e-05,1.20128525e-05,0.0,0.25,2.3401961,2.235567,1.3949635,-2.4626179,8.123845,0.20276497695852513,0.09353251473912998,0.16359447004608285,0.06835409370982877,0.29116134901711044,0.07714570200316571,True,2 vs Rest,2,Rest
Ptn,0.9644,0.035599999999999965,3.2991602379193363,0.00017140862,4.7983995e-05,0.0,0.25,2.308218,2.2249985,1.4975398,-1.9845924,9.23778,1.1382488479262685,0.23595904073762505,0.49769585253456067,0.09676847377986804,1.7869283418130675,0.22206725425343063,True,2 vs Rest,2,Rest
Adam28,0.9638,0.03620000000000001,3.2818244195070476,9.066584e-05,2.224244e-05,0.0,0.25,2.6354797,2.7767835,1.4710741,-2.212988,7.0447836,0.5506912442396309,0.1812580344873476,0.338709677419354,0.11423378695864413,0.8642675327952754,0.17644198787186588,True,2 vs Rest,2,Rest
Ndufa11,0.9638,0.03620000000000001,3.2818244195070476,0.0010897765,0.00039527722,0.0,0.25,1.6125369,1.6301413,0.85301787,-2.5016756,5.2423515,7.45161290322581,5.059222483265122,0.9700460829493165,0.8800035462565042,11.323224700120257,3.8558072210589334,True,2 vs Rest,2,Rest
Mrpl38,0.9638,0.03620000000000001,3.2818244195070476,7.521943e-05,0.00036491515,0.0,0.25,-2.0537295,-2.2023296,1.0546169,-4.7467327,1.2931337,0.5322580645161282,5.101467263618894,0.3686635944700451,0.8000354625648493,0.8010214707999542,3.6475687136342896,True,2 vs Rest,2,Rest
Boc,0.9638,0.03620000000000001,3.2818244195070476,8.950238e-05,2.7567046e-05,0.0,0.25,2.791766,2.9790883,1.8015522,-2.703868,8.997819,0.5668202764976951,0.15053858770335848,0.36175115207373176,0.09792100713684311,0.9427539818604606,0.20949491190798888,True,2 vs Rest,2,Rest
Poglut3,0.9638,0.03620000000000001,3.2818244195070476,3.7662925e-05,1.3325399e-05,0.0,0.25,1.5816563,1.6037359,0.7861189,-1.8703108,4.3625164,0.2281105990783409,0.12735493594574482,0.19354838709677397,0.10656500731415615,0.34245045752646186,0.1047314422758627,True,2 vs Rest,2,Rest
Golim4,0.9634,0.036599999999999966,3.270420190944699,0.00014574769,4.3892673e-05,0.0,0.25,1.9662505,2.0041752,1.1014624,-1.731,6.0380974,0.838709677419356,0.3704951460614466,0.47695852534562067,0.2186267121769631,1.2564982161974092,0.3267057899520185,True,2 vs Rest,2,Rest
Commd9,0.9634,0.036599999999999966,3.270420190944699,9.1367765e-05,3.5099016e-05,0.0,0.25,1.5082291,1.5543294,0.8030259,-2.1175632,4.3274803,0.502304147465437,0.42962897291547597,0.34331797235022954,0.2990824061350306,0.750484573260693,0.33921362486522494,True,2 vs Rest,2,Rest
Septin10,0.9634,0.036599999999999966,3.270420190944699,4.1083666e-05,1.3398e-05,0.0,0.25,1.8972658,1.8617859,1.0161328,-1.5068626,5.93254,0.27188940092165853,0.1256704641163196,0.2211981566820273,0.1010239815594683,0.39414264080938155,0.10185900309757016,True,2 vs Rest,2,Rest
Mgat3,0.9632,0.036800000000000055,3.264762968022636,0.00011747071,3.0933108e-05,0.0,0.25,2.5436335,2.4417992,1.6038048,-2.7757149,8.013294,0.6728110599078346,0.20213661953101156,0.4285714285714273,0.13134447448912018,1.1076066524052781,0.1963481652991155,True,2 vs Rest,2,Rest
Myl6,0.9632,0.036800000000000055,3.264762968022636,0.0020045037,0.00067992636,0.0,0.25,1.7223393,1.7995796,0.85050243,-1.7487049,4.798807,13.75115207373271,8.305642980627498,0.9953917050691327,0.9508843477104711,21.716673780320857,7.007450278399546,True,2 vs Rest,2,Rest
Bnc2,0.9632,0.036800000000000055,3.264762968022636,2.2630797e-05,5.537428e-06,0.0,0.25,2.454431,2.3937888,1.5488935,-2.6887484,8.093504,0.13133640552995396,0.03151735449266388,0.12442396313364061,0.027660800567401236,0.2389242699285482,0.03464750683124546,True,2 vs Rest,2,Rest
Nup85,0.9632,0.036800000000000055,3.264762968022636,2.7545595e-05,0.00028261813,0.0,0.25,-2.7625957,-2.875555,1.648578,-6.932602,2.1093512,0.2119815668202763,3.663460259762676,0.17050691244239619,0.6233432332993633,0.29658230548917874,2.6464684454175242,True,2 vs Rest,2,Rest
Relb,0.9632,0.036800000000000055,3.264762968022636,5.2709533e-05,0.00021079004,0.0,0.25,-1.8013066,-1.9096766,0.9183576,-4.3826265,1.5512648,0.3663594470046076,2.833946540182751,0.28110599078340953,0.7280907841659823,0.5525320199232242,2.1432878485922813,True,2 vs Rest,2,Rest
Cbx6,0.9632,0.036800000000000055,3.264762968022636,0.00018904702,5.4957025e-05,0.0,0.25,2.1016662,2.1780376,1.0967059,-1.302022,5.887725,1.1129032258064533,0.491998758810242,0.5990783410138253,0.2985947958686181,1.925787627802905,0.4587091616581964,True,2 vs Rest,2,Rest
Slc27a3,0.9628,0.03720000000000001,3.2535366861990203,0.00011625327,3.1598247e-05,0.0,0.25,2.6067262,2.5666504,1.5873812,-1.5562582,8.196668,0.7419354838709677,0.17022031118400957,0.44700460829492955,0.10310740724323093,1.1427465923320985,0.20666245847691395,True,2 vs Rest,2,Rest
Efhd2,0.9624,0.03759999999999997,3.2424258586979,2.7456546e-05,9.559341e-05,0.0,0.25,-1.576321,-1.4821334,0.864659,-4.3663006,1.0417919,0.20506912442396297,1.190345316724925,0.17511520737327174,0.522540892770082,0.30138836614425385,0.9578551796421391,True,2 vs Rest,2,Rest
Gulp1,0.9622,0.037799999999999945,3.236912972482433,2.6501977e-05,6.608499e-06,0.0,0.25,2.716992,2.5745716,1.7633029,-2.2206068,8.870281,0.16820276497695846,0.0422447803537395,0.1382488479262673,0.03462032891528917,0.24804185493808842,0.04237577834306969,True,2 vs Rest,2,Rest
Me1,0.9622,0.037799999999999945,3.236912972482433,4.251817e-05,0.00018435338,0.0,0.25,-1.7031953,-1.9800897,1.3757312,-5.2548437,2.7333164,0.13364055299539176,2.275056518462184,0.11059907834101386,0.61150760228735,0.177164284800182,1.7599972307038592,True,2 vs Rest,2,Rest
Ifit3,0.962,0.038000000000000034,3.23142803817647,0.00032044682,9.920442e-05,0.0,0.25,2.944357,3.0680428,2.0080438,-2.8150206,8.85636,2.142857142857141,0.7364688151070643,0.5829493087557605,0.16516689569573478,3.12887427345198,0.786328949020727,True,2 vs Rest,2,Rest
Kirrel1,0.962,0.038000000000000034,3.23142803817647,2.8188002e-05,7.883118e-06,0.0,0.25,2.3121848,2.2613277,1.4538807,-3.1882381,7.0384073,0.17511520737327183,0.03244824681945144,0.15437788018433174,0.02837005186400128,0.3331626720533123,0.04005430688044802,True,2 vs Rest,2,Rest
Tm2d3,0.9618,0.03820000000000001,3.225970761848134,8.6545304e-05,3.4895565e-05,0.0,0.25,1.3997368,1.4158626,0.66757685,-1.6757526,4.024702,0.5576036866359444,0.4484684604814147,0.42396313364055177,0.32044860144510695,0.9596707881540337,0.3542508829441964,True,2 vs Rest,2,Rest
Lamp2,0.9616,0.03839999999999999,3.2205408541699643,0.00073404977,0.0003137511,0.0,0.25,1.3387022,1.3722663,0.7467211,-2.6672897,3.6820612,4.426267281105978,3.8387339864346517,0.9423963133640625,0.8339022119775014,6.836519368907163,3.0479943128214,True,2 vs Rest,2,Rest
Osmr,0.9616,0.03839999999999999,3.2205408541699643,0.0001524072,6.271861e-05,0.0,0.25,1.9693754,2.169117,1.5018475,-3.8743086,7.004019,0.8294930875576058,0.48011879959219106,0.4723502304147451,0.2663681900793536,1.4622130600671797,0.5537590133201625,True,2 vs Rest,2,Rest
Mtmr11,0.9616,0.03839999999999999,3.2205408541699643,3.6632115e-05,9.666171e-06,0.0,0.25,2.5032446,2.6206079,1.4223651,-2.4991083,7.1049423,0.25576036866359425,0.05509996010461532,0.20737327188940063,0.04694357019371494,0.41198092618309173,0.06748690636331561,True,2 vs Rest,2,Rest
Rab12,0.9612,0.038799999999999946,3.209762009904824,0.0001004856,3.8196606e-05,0.0,0.25,1.5366796,1.6313777,0.70774883,-0.9930954,3.8396196,0.6612903225806452,0.4467839886519894,0.4516129032258051,0.29770823174786804,1.0965708499791182,0.35439936047926934,True,2 vs Rest,2,Rest
Prxl2c,0.9612,0.038799999999999946,3.209762009904824,0.0001484819,5.819132e-05,0.0,0.25,1.4979953,1.4998174,0.74953854,-1.2413559,4.249174,0.9423963133640582,0.5517088523427575,0.5552995391705065,0.3328161709295702,1.487114313829891,0.4803324750571155,True,2 vs Rest,2,Rest
Isg15,0.961,0.039000000000000035,3.204412516836249,0.0012902634,0.00036280588,0.0,0.25,2.8785493,3.011549,1.8327171,-2.5934572,8.193555,8.684331797234991,3.733942107362367,0.9470046082949382,0.5294560929119324,13.319275908171518,3.6682744560783274,True,2 vs Rest,2,Rest
S100a10,0.961,0.039000000000000035,3.204412516836249,0.0012462485,0.0003654977,0.0,0.25,2.2744534,2.2578726,1.3832043,-1.9766693,7.4742537,8.421658986175103,4.60255330466706,0.9723502304147543,0.6158074382729878,13.062785901906466,3.5862028807083717,True,2 vs Rest,2,Rest
Atpaf1,0.961,0.039000000000000035,3.204412516836249,3.560508e-05,1.497757e-05,0.0,0.25,1.3251199,1.3574724,0.6953774,-1.855897,4.168335,0.2672811059907831,0.18582383970921088,0.2096774193548384,0.1511591825878839,0.4466112897854641,0.1385397750921173,True,2 vs Rest,2,Rest
Fgfr2,0.9606,0.03939999999999999,3.1937920295299222,0.000110593,3.8884962e-05,0.0,0.25,2.1889997,2.3796363,1.4200289,-2.790967,6.3278656,0.619815668202765,0.23733321512478878,0.40552995391704955,0.1461500953056461,0.9602711648894401,0.3020846543333999,True,2 vs Rest,2,Rest
Eef1d,0.9604,0.03959999999999997,3.1885205039737716,0.00077272614,0.0002768404,0.0,0.25,1.6293226,1.6470652,0.8479342,-1.3521996,4.526435,4.972350230414731,3.8523870738943096,0.935483870967749,0.8376701094906891,7.699416795560005,2.8649748055870594,True,2 vs Rest,2,Rest
Fat3,0.9602,0.03979999999999995,3.1832744429646964,6.070746e-05,1.6926135e-05,0.0,0.25,2.6923764,2.6327076,2.1609097,-5.381563,9.766608,0.3617511520737321,0.08302672990824189,0.2649769585253451,0.05793696529101562,0.6523694752915513,0.11258594202903197,True,2 vs Rest,2,Rest
