external_gene_name,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Ppp1r12a,0.9654,0.034599999999999964,3.3286885625038165,0.00029851028,0.00011160437,0.0,0.25,1.5251527,1.5027032,0.7529259,-0.9158764,5.665951,1.098121085594984,1.3044701611072895,0.567849686847596,0.620512820512608,2.944354963842521,1.0751976788132884,True,1 vs Rest,1,Rest
Lama3,0.9654,0.034599999999999964,3.3286885625038165,0.00021591595,5.5185305e-05,0.0,0.25,2.3680246,2.4359317,1.2835319,-2.5966988,7.5137796,0.872651356993733,0.4343090537780405,0.49478079331941277,0.23544361243476794,2.3156846173491368,0.4024320732019505,True,1 vs Rest,1,Rest
Igfbp4,0.9654,0.034599999999999964,3.3286885625038165,0.00042229137,9.945798e-05,0.0,0.25,2.8259113,2.9963527,1.7202551,-3.676878,7.8892,1.4937369519832917,0.6092126162922203,0.5699373695198298,0.21665532108010446,4.31510847939831,0.6961546209036287,True,1 vs Rest,1,Rest
Cox7a2,0.9652,0.03480000000000005,3.322717669974713,0.00019677207,0.00067250535,0.0,0.25,-1.8255494,-1.844327,0.97492963,-4.658616,2.4121656,0.8141962421711869,9.26507828454782,0.4144050104384113,0.9449512139773594,1.7002531706040012,6.694692712407346,True,1 vs Rest,1,Rest
Tiam1,0.9652,0.03480000000000005,3.322717669974713,0.0003443117,9.6336735e-05,0.0,0.25,2.1400938,2.100667,1.1583908,-1.451828,7.1368504,1.3392484342379891,1.0448831404582206,0.6137787056367396,0.4682550487858993,3.508735578566305,0.8856802566126674,True,1 vs Rest,1,Rest
Arid5a,0.9652,0.03480000000000005,3.322717669974713,0.00026549416,4.7958114e-05,0.0,0.25,2.4067721,2.4209828,1.3977551,-2.8987713,7.422657,0.9039665970772403,0.5199001588381412,0.4478079331941522,0.3164964828681306,2.690510663087299,0.4317076704549035,True,1 vs Rest,1,Rest
Cd52,0.9652,0.03480000000000005,3.322717669974713,6.793295e-05,0.0011443214,0.0,0.25,-3.501775,-3.9735584,2.2371244,-8.719452,4.074134,0.3663883089770346,18.799410029499064,0.19102296450939432,0.7377808032672475,0.8456451920411718,13.708945299742437,True,1 vs Rest,1,Rest
Synpo2,0.9652,0.03480000000000005,3.322717669974713,0.00027817505,8.79487e-05,0.0,0.25,1.8660179,1.8362818,1.0235327,-2.5064793,6.4922304,1.0981210855949841,0.8670297254366744,0.5177453027139847,0.3919219423643422,2.8921253812065917,0.7178706541289795,True,1 vs Rest,1,Rest
Rbm12,0.9652,0.03480000000000005,3.322717669974713,4.2276384e-05,1.5160097e-05,0.0,0.25,1.6225463,1.5932364,0.8478194,-1.5054092,5.360403,0.1503131524008351,0.18842750170184175,0.1294363256784971,0.1583843884728873,0.3580943137442137,0.15520902790664784,True,1 vs Rest,1,Rest
Mansc4,0.965,0.03500000000000003,3.316779764498021,3.6557514e-05,1.0900682e-05,0.0,0.25,2.3190064,2.4069104,1.4416163,-3.9639854,6.946556,0.14196242171189988,0.05418652144315927,0.12317327766179567,0.04243249375992793,0.3717243519514758,0.05486901960600854,True,1 vs Rest,1,Rest
Trmt1,0.9648,0.03520000000000001,3.310874469642843,6.643352e-05,2.487516e-05,0.0,0.25,1.5132759,1.5189314,0.74580747,-1.12568,4.369997,0.24634655532359037,0.2979804855910918,0.20354906054279714,0.2275017018379899,0.6477763890713543,0.23906401606240507,True,1 vs Rest,1,Rest
Stx16,0.9648,0.03520000000000001,3.310874469642843,0.0001539256,5.6393666e-05,0.0,0.25,1.516618,1.5321608,0.7280266,-0.848526,5.410741,0.53653444676409,0.6798275470840504,0.37160751565761835,0.4384842296345667,1.5623204280768768,0.5856451322723365,True,1 vs Rest,1,Rest
Cpxm2,0.9648,0.03520000000000001,3.310874469642843,0.00010481703,2.405844e-05,0.0,0.25,2.4251542,2.4404345,1.3910509,-2.379427,7.9321938,0.3465553235908132,0.17939641479464818,0.25156576200417463,0.12316768776946012,1.0422898624733126,0.15755094198145717,True,1 vs Rest,1,Rest
Ston2,0.9648,0.03520000000000001,3.310874469642843,0.00014710166,4.8481368e-05,0.0,0.25,1.7927935,1.7365298,0.97847646,-1.5210943,6.499914,0.5709812108559479,0.5213523939186948,0.3549060542797479,0.32393918765596375,1.5637358089418218,0.44320788102251735,True,1 vs Rest,1,Rest
