feature_name,entropy,entropy_score,peak_cell_types,max_average_cell_type_expression,peak_tissue,max_average_tissue_expression,tau_score,tau_TRA_0.85,entropy_TRA_0.85,tau_TRA_0.9,entropy_TRA_0.9,tau_TRA_0.95,entropy_TRA_0.95
Chsy1,3.785901560654645,0.1380628501435745,"astrocyte,macrophage,microglial cell,native cell,tanycyte",1.0254241228103638,mesonephros,0.46283337473869324,0.5477115,False,False,False,False,False,False
Lrrk1,3.65653621067564,0.1675154915460629,"leptomeningeal cell,macrophage,microglial cell,pericyte",4.273712158203125,urethra,0.4514843821525574,0.6660367,False,False,False,False,False,False
Gm10974,0.330925512643705,0.924658106236241,"leptomeningeal cell,macrophage,microglial cell,pericyte",0.44499099254608154,"hypothalamus,primary motor cortex",0.013590330258011818,0.9654648,True,True,True,True,True,True
Aldh1a3,2.8836030100528114,0.3434893855579942,"brush cell,epithelial cell,fibroblast,fibroblast of connective tissue of prostate,luminal epithelial cell of mammary gland,podocyte (sensu Diptera),smooth muscle cell of prostate,stromal cell,type II pneumocyte",1.966003656387329,mammary gland,0.5777162909507751,0.7953882,False,False,False,False,False,False
Asb7,3.860828554225441,0.1210042028831963,"GABAergic neuron,astrocyte,ependymal cell,glioblast,glutamatergic neuron,mural cell,native cell,neuron,neutrophil,oligodendrocyte precursor cell,pituitary gland cell,tanycyte",0.42409250140190125,"diencephalon,hypothalamus,primary motor cortex",0.3488002419471741,0.6186831,False,False,False,False,False,False
Lins1,2.2780667148901856,0.4813519844727008,"astrocyte,ependymal cell,glioblast,native cell,neuron,oligodendrocyte precursor cell,pituitary gland cell,tanycyte",0.2862287163734436,"diencephalon,hypothalamus",0.22878453135490417,0.8566224,True,False,False,False,False,False
Cers3,0.8809375314427436,0.7994367331299508,"basal cell of prostate epithelium,oocyte,oogonial cell,prostate gland microvascular endothelial cell,seminal vesicle glandular cell,urethra urothelial cell",0.25956177711486816,urethra,0.18928268551826477,0.95576763,True,True,True,True,True,False
Adamts17,1.0950998733342356,0.7506783394899929,"GABAergic neuron,glutamatergic neuron,leptomeningeal cell,native cell,neuron,pericyte,pituitary gland cell",1.3420525789260864,"hypothalamus,primary motor cortex",0.5865472555160522,0.93053055,True,True,True,True,False,False
Lysmd4,0.8998840861663703,0.7951231663040722,"macrophage,microglial cell,native cell,pericyte",3.853097915649414,"hypothalamus,primary motor cortex",0.7602332830429077,0.92828435,True,True,True,True,False,False
Mef2a,2.864600131011027,0.3478157757553953,"macrophage,microglial cell,pericyte",12.933435440063477,"diencephalon,primary motor cortex",2.1599926948547363,0.79445493,False,False,False,False,False,False
Lrrc28,2.9444502999454225,0.3296362679356078,"GABAergic neuron,astrocyte,ependymal cell,leptomeningeal cell,microglial cell,native cell,oligodendrocyte,oligodendrocyte precursor cell,pituitary gland cell,tanycyte",1.6465023756027222,"hypothalamus,primary motor cortex",0.5340670347213745,0.7923641,False,False,False,False,False,False
Ttc23,3.508938979878669,0.201118989788591,"astrocyte,endothelial cell,ependymal cell,hepatic stellate cell,leptomeningeal cell,mural cell,native cell,pericyte,tanycyte",1.0603760480880737,"gonad,liver,mesonephros",0.26821836829185486,0.64368576,False,False,False,False,False,False
Synm,3.180114686769712,0.275982498378307,"cardiac muscle cell,endothelial cell,mesangial cell,neuroendocrine cell,smooth muscle cell,smooth muscle cell of prostate,smooth muscle cell of trachea",1.9309611320495605,"heart,trachea",0.4849700629711151,0.7029356,False,False,False,False,False,False
Igf1r,3.5275743319955595,0.1968762745375831,"endothelial cell,glioblast,leptomeningeal cell,microglial cell,mural cell,pericyte",9.560847282409668,"diencephalon,primary motor cortex",2.640643358230591,0.7009471,False,False,False,False,False,False
Pgpep1l,3.070443070141008,0.300951462611161,"ependymal cell,leptomeningeal cell,mural cell,neuron,pericyte,pituitary gland cell,tanycyte",0.241874560713768,hypothalamus,0.14924849569797516,0.71917486,False,False,False,False,False,False
Fam169b,1.917504399425704,0.5634412965052487,"DN3 thymocyte,DN4 thymocyte,T cell,double negative thymocyte,immature T cell,professional antigen presenting cell,thymocyte",0.6383916139602661,thymus,0.4141097664833069,0.8800589,True,True,False,False,False,False
Arrdc4,3.614348866418993,0.1771202947048378,"bronchial smooth muscle cell,endothelial cell,enterocyte of epithelium of large intestine,prostate gland microvascular endothelial cell,smooth muscle cell of the pulmonary artery,vein endothelial cell",0.9993617534637451,large intestine,0.7709789872169495,0.650661,False,False,False,False,False,False
