feature_name,entropy,entropy_score,peak_cell_types,max_average_cell_type_expression,peak_tissue,max_average_tissue_expression,tau_score,tau_TRA_0.85,entropy_TRA_0.85,tau_TRA_0.9,entropy_TRA_0.9,tau_TRA_0.95,entropy_TRA_0.95
Casp1,5.482420980437803,0.2474786132955627,"enterocyte of epithelium of large intestine,epithelial cell of large intestine,hematopoietic stem cell,intestinal crypt stem cell,kidney cell,large intestine goblet cell,monocyte",2.2523088455200195,large intestine,1.8582381010055542,0.8662255,True,False,False,False,False,False
Casp4,5.781945277249867,0.2063656743233559,"Schwann cell,bladder cell,blood cell,endothelial cell,mast cell,mesenchymal stem cell,myeloid cell,neutrophil,skeletal muscle satellite cell,smooth muscle cell,stromal cell",1.3117341995239258,limb muscle,1.3408364057540894,0.78322804,False,False,False,False,False,False
Casp12,5.328669866427659,0.2685826113167119,"adventitial cell,cardiac neuron,endocardial cell,fibroblast of cardiac tissue,fibroblast of connective tissue of prostate,fibroblast of lung,neuroendocrine cell,pancreatic ductal cell,pancreatic stellate cell,pulmonary interstitial fibroblast",0.6014211177825928,"heart,trachea",0.3492307960987091,0.8043533,False,False,False,False,False,False
Pdgfd,2.9359168647749114,0.597013757569392,"astrocyte,endothelial cell,ependymal cell,leptomeningeal cell,mural cell,pituitary gland cell,tanycyte",3.7083966732025146,hypothalamus,0.5811907052993774,0.9560993,True,True,True,True,True,True
Dync2h1,4.221011131996818,0.4206207145202743,"ependymal cell,mural cell,neuron,pituitary gland cell,tanycyte",2.814426898956299,hypothalamus,2.6111555099487305,0.8975903,True,True,False,True,False,False
Dcun1d5,6.939582513986743,0.0474674828494935,"double negative thymocyte,female germ cell,oocyte,oogonial cell,thymocyte",2.8809289932250977,ovary,2.350102663040161,0.63818693,False,False,False,False,False,False
Mmp13,2.649278540061394,0.6363579579446845,"Langerhans cell,blood cell,chondrocyte,neuroendocrine cell",4.231416702270508,trachea,2.555856704711914,0.96876734,True,True,True,True,True,True
Mmp12,3.4095051464905257,0.5320086600485616,"Kupffer cell,Langerhans cell,blood cell,kidney cell,leukocyte,lung macrophage,myeloid cell",1.6798772811889648,"adipose tissue,liver",0.5168911218643188,0.9407199,True,True,True,True,False,False
Mmp3,2.82337554563391,0.6124612669532428,"adventitial cell,fibroblast of cardiac tissue,fibroblast of lung,mesenchymal stem cell,mesenchymal stem cell of adipose tissue,stromal cell",7.439182758331299,"adipose tissue,heart,limb muscle,mammary gland",1.872660756111145,0.9670377,True,True,True,True,True,True
Mmp8,2.3968666546787354,0.6710042105193403,"granulocyte,immature B cell,mast cell,neutrophil,proerythroblast",18.720277786254883,bone marrow,5.813653945922852,0.9764539,True,True,True,True,True,True
Mmp7,1.6137570686217035,0.7784944440756324,"pancreatic A cell,pancreatic D cell,pancreatic PP cell,type B pancreatic cell",72.10684204101562,islet of Langerhans,87.07533264160156,0.98746437,True,True,True,True,True,True
Tmem123,6.240376727944942,0.1434410152690933,"B cell,Langerhans cell,bladder urothelial cell,erythroid progenitor cell, mammalian,late pro-B cell,macrophage dendritic cell progenitor,plasma cell,plasmacytoid dendritic cell,precursor B cell,professional antigen presenting cell",3.2757680416107178,spleen,2.3185510635375977,0.7298502,False,False,False,False,False,False
