,external_gene_name,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,gene
1107,G6pdx,0.9316,0.06840000000000002,2.611530577917082,4.5139815e-05,2.0081337e-05,0.0,0.25,1.3423446,1.4827404,0.7943937,-1.709239,3.2194586,0.5653846153846142,0.23562062585472332,0.3538461538461528,0.17448314697128592,0.4302684708546064,0.17901258498324943,False,Goblet vs Rest,Goblet,Rest,G6pdx
1108,Galnt6,0.9316,0.06840000000000002,2.611530577917082,3.8032595e-05,1.4785308e-05,0.0,0.25,1.5555699,1.6495471,1.5596312,-5.2757034,6.460641,0.3115384615384611,0.11632209798085429,0.1865384615384611,0.06620545410666795,0.2292161435666921,0.08339178240876473,False,Goblet vs Rest,Goblet,Rest,Galnt6
1109,Ebag9,0.9314,0.0686,2.608396160780379,8.991369e-05,3.791103e-05,0.0,0.25,1.1980383,1.1696115,0.85080874,-2.078004,3.603693,1.1403846153846127,0.4537848926072061,0.5307692307692291,0.29080524495214594,0.8372102677779962,0.3556872264341553,False,Goblet vs Rest,Goblet,Rest,Ebag9
1110,Add3,0.9312,0.06879999999999997,2.6052701974278807,0.00014483355,5.274786e-05,0.0,0.25,1.579667,1.5986867,1.1750344,-2.5888166,6.3403664,1.8038461538461494,0.5434800096532912,0.5923076923076904,0.2887941436730854,1.3895756210219237,0.4867830938499637,False,Goblet vs Rest,Goblet,Rest,Add3
1111,Tmsb10,0.9312,0.06879999999999997,2.6052701974278807,0.0003930837,0.0010269351,0.0,0.25,-1.2878324,-1.3850384,1.7420274,-5.384923,5.1921625,4.663461538461537,11.430375673719283,0.6730769230769209,0.8704046335771299,3.7138569109163573,10.799283680762185,False,Goblet vs Rest,Goblet,Rest,Tmsb10
1112,Plk3,0.9312,0.06879999999999997,2.6052701974278807,3.5114954e-05,1.4961349e-05,0.0,0.25,1.596868,1.6703467,2.0435674,-5.5552406,7.417884,0.3826923076923071,0.1534068055667291,0.22884615384615326,0.0888102324833081,0.34383127482218206,0.11605331492507928,False,Goblet vs Rest,Goblet,Rest,Plk3
1113,Trp53inp2,0.931,0.06899999999999995,2.6021526384934215,0.0002383995,6.434962e-05,0.0,0.25,1.8339568,1.7866979,1.4143299,-3.455575,8.256181,3.1499999999999924,0.6853028718526079,0.6826923076923055,0.3410023328774963,2.6046295149842527,0.5829365542263408,False,Goblet vs Rest,Goblet,Rest,Trp53inp2
1114,Glrx,0.9308,0.06920000000000004,2.5990434350392984,0.00011582501,3.2993572e-05,0.0,0.25,1.8543936,1.8249841,2.1438186,-5.9524794,8.645999,1.8826923076923054,0.43640897755611674,0.39230769230769114,0.14552328855281454,1.389961604602609,0.33511934168946217,False,Goblet vs Rest,Goblet,Rest,Glrx
1115,Slc15a1,0.9306,0.06940000000000002,2.595942538551336,2.4474344e-05,8.54414e-06,0.0,0.25,1.5431638,1.6122408,1.9368217,-5.845955,7.0745964,0.2749999999999996,0.08108760357171571,0.19615384615384568,0.05598905960904111,0.21469839668827445,0.06702435946641917,False,Goblet vs Rest,Goblet,Rest,Slc15a1
1116,Pcx,0.9306,0.06940000000000002,2.595942538551336,4.5939585e-05,1.4472574e-05,0.0,0.25,1.7383085,1.826901,1.5632042,-4.760351,6.2662983,0.5826923076923066,0.14182286219934137,0.32115384615384523,0.10256616523208201,0.43028154828277293,0.10173641835176782,False,Goblet vs Rest,Goblet,Rest,Pcx
1117,Flvcr1,0.9306,0.06940000000000002,2.595942538551336,1.825877e-05,5.4454147e-05,0.0,0.25,-1.473996,-1.4754429,1.1319191,-5.1862173,2.8492165,0.11730769230769218,0.5693025500764228,0.10769230769230753,0.30818116000322876,0.09448052484976609,0.4384151270025929,False,Goblet vs Rest,Goblet,Rest,Flvcr1
1118,Ehd4,0.9306,0.06940000000000002,2.595942538551336,6.599238e-05,2.4961446e-05,0.0,0.25,1.7496338,1.7616029,1.221428,-1.7461872,4.854306,0.9423076923076901,0.3228219773147851,0.4942307692307677,0.18823907972005982,0.7150577876531263,0.22559894173412737,False,Goblet vs Rest,Goblet,Rest,Ehd4
1119,Slc5a9,0.9304,0.0696,2.5928499009339956,0.00028380586,0.00012119979,0.0,0.25,1.5024896,1.5671325,1.584369,-4.4845686,6.756774,3.9749999999999903,1.506717078271978,0.7884615384615359,0.42908856890034675,2.9887028161548503,1.167852262790226,False,Goblet vs Rest,Goblet,Rest,Slc5a9
1120,Shisa4,0.9304,0.0696,2.5928499009339956,3.3853517e-05,9.3421746e-05,0.0,0.25,-1.434105,-1.46734,2.1022663,-6.92414,6.897811,0.34423076923076873,0.6892446303595647,0.211538461538461,0.3467943045611906,0.24690703829290944,0.9038965497431428,False,Goblet vs Rest,Goblet,Rest,Shisa4
1121,Lzts3,0.9304,0.0696,2.5928499009339956,2.783192e-05,9.12638e-06,0.0,0.25,1.6655918,1.6389909,1.5481257,-4.27489,8.054291,0.29615384615384555,0.06515968144155676,0.211538461538461,0.05558683935322904,0.3020411239205221,0.06083022822835674,False,Goblet vs Rest,Goblet,Rest,Lzts3
1122,Ccdc162,0.9304,0.0696,2.5928499009339956,9.828046e-05,5.2203493e-05,0.0,0.25,1.8062297,1.9237552,2.1330662,-3.9454756,6.5009117,1.4307692307692275,0.8002574209637058,0.532692307692306,0.27318799774757585,1.0332813912331822,0.4851554092801676,False,Goblet vs Rest,Goblet,Rest,Ccdc162
1123,Actn1,0.9304,0.0696,2.5928499009339956,6.3542066e-05,0.00017895711,0.0,0.25,-1.3913734,-1.4555287,1.1138792,-5.2163925,3.1473331,0.5538461538461529,2.0896146729948004,0.2961538461538453,0.6470919475504048,0.43030994968204633,1.8338876983871617,False,Goblet vs Rest,Goblet,Rest,Actn1
1124,Enpp3,0.9302,0.06979999999999997,2.5897654745055814,1.0368444e-05,4.3852465e-06,0.0,0.25,1.6777791,1.8368292,1.5170851,-4.173856,6.430089,0.14615384615384602,0.04665754967420136,0.10576923076923062,0.03378650148821497,0.11638786092615377,0.0354877752641921,False,Goblet vs Rest,Goblet,Rest,Enpp3
1125,Muc1,0.9302,0.06979999999999997,2.5897654745055814,0.00018147113,5.7123667e-05,0.0,0.25,2.0607128,2.0504732,1.7254401,-2.968175,6.6658688,1.54230769230769,0.641621752071431,0.4346153846153833,0.22484112299896114,1.3237073837656144,0.3686507163804758,False,Goblet vs Rest,Goblet,Rest,Muc1
1126,Rdh10,0.9302,0.06979999999999997,2.5897654745055814,0.0001510905,4.471797e-05,0.0,0.25,1.5884538,1.566731,1.2539856,-4.3016424,5.6066704,1.438461538461536,0.40117448314698123,0.41538461538461413,0.22202558120827642,1.204160603926847,0.3485052481381838,False,Goblet vs Rest,Goblet,Rest,Rdh10
1127,Adh1,0.9302,0.06979999999999997,2.5897654745055814,2.4022718e-05,1.30743165e-05,0.0,0.25,1.7084374,1.7424974,1.9357815,-5.7364664,7.42717,0.2576923076923075,0.10023328774837104,0.1288461538461536,0.044324672190491146,0.19307045406831833,0.08258845696329102,False,Goblet vs Rest,Goblet,Rest,Adh1
1128,Ptk7,0.9302,0.06979999999999997,2.5897654745055814,1.2904455e-05,2.5127274e-05,0.0,0.25,-1.0972763,-1.0325146,2.3199492,-9.60368,6.745618,0.16538461538461513,0.1674845145201541,0.14230769230769202,0.142546858659805,0.12806680060388828,0.22886956616569828,False,Goblet vs Rest,Goblet,Rest,Ptk7
1129,Ildr1,0.9302,0.06979999999999997,2.5897654745055814,0.00012091941,4.5898254e-05,0.0,0.25,1.6502002,1.7478161,1.1769094,-2.349206,5.2637663,1.4653846153846117,0.5853109162577421,0.6038461538461519,0.28975947228703447,1.1546844675231054,0.41228079412577306,False,Goblet vs Rest,Goblet,Rest,Ildr1
1130,Cgn,0.93,0.06999999999999995,2.586689211993499,8.646123e-05,3.5148718e-05,0.0,0.25,1.5416732,1.6053233,1.2441318,-3.1346006,6.2445335,1.005769230769228,0.3932909661330657,0.555769230769229,0.2392406081570344,0.8473093240649769,0.3584904906339491,False,Goblet vs Rest,Goblet,Rest,Cgn
1131,Arhgef38,0.93,0.06999999999999995,2.586689211993499,3.461958e-05,1.5212118e-05,0.0,0.25,1.971666,2.0378304,1.8685131,-5.2831774,7.7714853,0.4269230769230761,0.13369801303193676,0.2846153846153838,0.08205293218566478,0.30366829871144047,0.10362167217203141,False,Goblet vs Rest,Goblet,Rest,Arhgef38
1132,Plat,0.93,0.06999999999999995,2.586689211993499,7.750465e-05,2.6321411e-05,0.0,0.25,1.5729135,1.5643249,1.5877823,-3.563692,7.6441584,0.8788461538461526,0.3091464886171704,0.27307692307692233,0.12187273751106292,0.8760199546197989,0.23734964507697665,False,Goblet vs Rest,Goblet,Rest,Plat
1133,Oas2,0.9298,0.07020000000000004,2.583621066529587,2.7072218e-05,8.853792e-06,0.0,0.25,1.6886711,1.7145476,2.4184525,-6.9179344,8.844785,0.31923076923076893,0.027190089292896846,0.18269230769230727,0.020915453302228357,0.2440828384370944,0.03991234410331914,False,Goblet vs Rest,Goblet,Rest,Oas2
1134,Sestd1,0.9298,0.07020000000000004,2.583621066529587,5.3506912e-05,2.141832e-05,0.0,0.25,1.4248029,1.4514203,1.0063654,-2.0397072,5.7827587,0.5711538461538449,0.1868715308502965,0.3423076923076913,0.1359504464644865,0.5008466789069933,0.1677822060888875,False,Goblet vs Rest,Goblet,Rest,Sestd1
1135,Armc9,0.9298,0.07020000000000004,2.583621066529587,4.9461538e-05,1.6910302e-05,0.0,0.25,1.5342696,1.5276237,1.0532057,-2.1150446,5.595909,0.33076923076923037,0.1219531815622241,0.1999999999999995,0.09146488617166798,0.27097272108931053,0.10771518834391021,False,Goblet vs Rest,Goblet,Rest,Armc9
1136,Shisa2,0.9296,0.07040000000000002,2.5805609916455206,3.6510086e-05,0.00013333591,0.0,0.25,-1.7045953,-1.7895818,1.7196223,-6.0425615,3.944871,0.3269230769230766,1.0735258627623885,0.16923076923076885,0.4261925830584996,0.2194387874503352,1.3180416537848734,False,Goblet vs Rest,Goblet,Rest,Shisa2
1137,F3,0.9292,0.07079999999999997,2.5744648697155985,0.000263702,0.00010036933,0.0,0.25,1.8045306,1.702096,2.1449852,-5.3790436,9.315941,3.859615384615378,0.9552731075536721,0.5865384615384597,0.2638564878127351,2.9577799912498315,0.8971038840046283,False,Goblet vs Rest,Goblet,Rest,F3
1138,Ccdc68,0.9292,0.07079999999999997,2.5744648697155985,4.724256e-05,1.8316232e-05,0.0,0.25,1.5984347,1.6217127,1.3064212,-3.1350355,6.1320524,0.49423076923076825,0.12235540181803584,0.3019230769230761,0.08020271900892911,0.3838085466185706,0.11413369772607354,False,Goblet vs Rest,Goblet,Rest,Ccdc68
1139,Slc35a1,0.9288,0.07120000000000004,2.568400482282903,5.628857e-05,2.2707307e-05,0.0,0.25,1.2865639,1.2764564,0.95449024,-2.8870907,4.682706,0.7596153846153829,0.2840479446545003,0.3980769230769219,0.20794787225485284,0.5568657074123436,0.2348319977264174,False,Goblet vs Rest,Goblet,Rest,Slc35a1
1140,Sema3f,0.9288,0.07120000000000004,2.568400482282903,0.00013166806,4.8603997e-05,0.0,0.25,1.7549709,1.7395144,1.3427032,-2.383318,6.7443686,2.046153846153841,0.5201512348161956,0.6865384615384593,0.2835652803475281,1.5536442339717906,0.5037403035498168,False,Goblet vs Rest,Goblet,Rest,Sema3f
1141,Selenbp1,0.9288,0.07120000000000004,2.568400482282903,3.0165544e-05,1.458178e-05,0.0,0.25,1.8348461,1.8614397,2.3094172,-4.744234,9.883882,0.415384615384615,0.09926795913442216,0.1749999999999996,0.041589574450969086,0.3341193913075854,0.06907941293611114,False,Goblet vs Rest,Goblet,Rest,Selenbp1
1142,Eml3,0.9286,0.07140000000000002,2.5653800769531694,3.0053494e-05,1.2410593e-05,0.0,0.25,1.3509732,1.3734708,0.91363835,-2.051588,4.7997313,0.37499999999999917,0.13112380339474008,0.2788461538461531,0.1107714584506489,0.3201580256337978,0.12014427511392138,False,Goblet vs Rest,Goblet,Rest,Eml3
1143,Zdhhc14,0.9286,0.07140000000000002,2.5653800769531694,2.5804751e-05,9.480796e-06,0.0,0.25,1.5904721,1.6682286,1.6609632,-4.5243883,7.5385494,0.334615384615384,0.07883517013916809,0.2461538461538455,0.056552167967178005,0.2788829745230274,0.05424447416734339,False,Goblet vs Rest,Goblet,Rest,Zdhhc14
1144,Frk,0.9286,0.07140000000000002,2.5653800769531694,5.022302e-05,1.7103448e-05,0.0,0.25,1.5712148,1.5600586,1.3438421,-4.0035458,7.4669256,0.5980769230769221,0.1328131284691505,0.3403846153846144,0.08929289679028263,0.4902835836643231,0.11559609339556222,False,Goblet vs Rest,Goblet,Rest,Frk
1145,Slc5a8,0.9286,0.07140000000000002,2.5653800769531694,7.614274e-05,3.051881e-05,0.0,0.25,1.6757345,1.7798467,1.6597247,-4.4153852,7.78001,0.27115384615384586,0.21197007481296948,0.1499999999999997,0.08897112058563295,0.23512257468201714,0.1626708108069785,False,Goblet vs Rest,Goblet,Rest,Slc5a8
1146,Trp63,0.9284,0.0716,2.562367471540107,5.23561e-05,0.00016440879,0.0,0.25,-1.1549286,-1.268043,1.9773623,-6.919258,4.380563,0.4461538461538454,1.122194513715624,0.27692307692307616,0.48491674040706656,0.3245357917813118,1.5884472382671992,False,Goblet vs Rest,Goblet,Rest,Trp63
1147,Trim3,0.9282,0.07179999999999997,2.559362622250681,2.7840644e-05,1.0608255e-05,0.0,0.25,1.4680294,1.4759388,1.0325273,-2.028613,5.184555,0.17884615384615365,0.07392808301826037,0.1403846153846151,0.0636312444694705,0.1769340797804339,0.07988925107428099,False,Goblet vs Rest,Goblet,Rest,Trim3
1148,Unc5b,0.928,0.07199999999999995,2.556365485657129,2.5260746e-05,1.1436028e-05,0.0,0.25,1.709109,1.7516451,1.8341988,-4.093669,8.9536495,0.16730769230769216,0.05132330464162142,0.12307692307692286,0.03467138605100152,0.15886050612807712,0.04186723310051383,False,Goblet vs Rest,Goblet,Rest,Unc5b
1149,Tnfaip2,0.928,0.07199999999999995,2.556365485657129,0.0001403395,5.8728223e-05,0.0,0.25,1.4941988,1.5271707,1.154748,-3.66469,6.080104,1.6653846153846115,0.5269889791649979,0.5826923076923058,0.20875231276647704,1.2566983248579904,0.4196360554829792,False,Goblet vs Rest,Goblet,Rest,Tnfaip2
1150,Adam15,0.928,0.07199999999999995,2.556365485657129,3.215948e-05,1.3419345e-05,0.0,0.25,1.4787868,1.5328164,1.0710384,-2.5983028,5.3453903,0.428846153846153,0.12694071273429405,0.2942307692307684,0.09942884723674761,0.3213950646237464,0.12641460083761188,False,Goblet vs Rest,Goblet,Rest,Adam15
