NAME	TITLE	SCORE	
Tgm2		8.43522	
Sbsn		8.4296055	
Cdkn2a		8.396801	
Serpinb2		8.394473	
Jun		8.392639	
Tnfsf10		8.381714	
Pcolce		8.373611	
Csprs		8.364432	
Mmp23		8.364032	
Upk1b		8.354953	
Wwc1		8.34458	
Krt80		8.312924	
Ifit1		8.299087	
Gde1		8.279997	
Muc20		8.274079	
Lpcat4		8.254358	
Map1lc3a		8.238177	
Palmd		8.234625	
Gne		8.220741	
Cd55		8.205111	
Tmod3		8.196289	
Grn		8.170363	
Tm4sf1		8.169387	
Prkab1		8.165167	
Spns2		8.152512	
Trim2		8.082637	
Cdh1		8.079689	
Ephx1		8.076366	
Adgrg2		8.048018	
Akap13		8.0297985	
Cttnbp2		8.022715	
Klhdc8a		8.012489	
Slc9a4		8.011909	
AA986860		8.008717	
Parp14		7.9791746	
Klf3		7.9766507	
Ier3		7.972142	
Ahr		7.971359	
Adamtsl4		7.970261	
Zbp1		7.968077	
Slc34a2		7.957746	
Nr2f2		7.9490767	
Lbp		7.9341216	
Ikzf3		7.928425	
Dnajb1		7.91687	
Pbx1		7.913615	
Psca		7.9134836	
Plscr1		7.8986583	
Mark2		7.876335	
Lurap1l		7.854306	
Socs2		7.848569	
Pir		7.8446307	
Scnn1a		7.8186097	
Gpx2		7.8125324	
Clic3		7.7688932	
Ehd4		7.767031	
Tjp1		7.7509594	
Tmc4		7.741855	
Nectin4		7.73924	
Cltb		7.7234993	
Fth1		7.7231336	
Slc5a9		7.7208953	
Atf3		7.7047205	
Trim16		7.700231	
Dtx3l		7.6994023	
Spats2l		7.698201	
Trib1		7.6981335	
Myl12b		7.6937466	
Tpd52		7.690097	
Hcar2		7.681078	
Ly6k		7.6739182	
Afdn		7.659485	
Spint1		7.616308	
Rigi		7.594088	
Cblc		7.589487	
Selenbp1		7.5837393	
Vamp8		7.573413	
Trpm6		7.5521207	
Hopx		7.551486	
Adam10		7.541393	
Tshz2		7.5371103	
Aldh3a1		7.536238	
Frk		7.5187125	
Cd47		7.5120215	
Btg1		7.5026026	
AI661453		7.501533	
Slc35a1		7.48825	
Crip2		7.4874096	
Tmbim6		7.465474	
Foxp1		7.461327	
Vtcn1		7.4525967	
Slc28a3		7.4479365	
Sdcbp		7.4381084	
Pkp4		7.41924	
Hbegf		7.4132514	
Tlr3		7.4048657	
Pmepa1		7.4003973	
Tnfrsf12a		7.3917203	
Apol9b		7.3783083	
Barx2		7.3776827	
Pgap2		7.374085	
Tmem59		7.3655996	
Oas3		7.3654647	
Smim14		7.359526	
Spint2		7.34875	
Emb		7.336035	
Trim30d		7.3345118	
Parp12		7.3036065	
Gipc1		7.3033447	
Asb11		7.3025303	
Mall		7.247368	
Irgm1		7.2368126	
Sema3f		7.2328277	
Ramp1		7.191245	
Gramd3		7.1909857	
Pllp		7.176022	
Iffo2		7.160379	
Psmb8		7.157464	
Lsr		7.137754	
Itm2b		7.1333103	
Cd81		7.1219583	
Fosb		7.103184	
Bhlhe40		7.099651	
Susd6		7.0809555	
Bri3		7.0788345	
Ly6g6e		7.0772204	
Cxcl3		7.0753508	
Tax1bp3		7.074497	
Stard10		7.066484	
Serpinb8		7.065883	
Chmp4b		7.0569687	
Mpzl2		7.0384903	
Usp6nl		7.037769	
Muc16		7.0374513	
Plpp2		7.0129724	
Gm2a		7.002031	
Cdkn2b		6.9997	
Krt7		6.994313	
Sh3d19		6.9812484	
Krtcap3		6.9722	
0610040J01Rik		6.9375916	
Endod1		6.917945	
Ctsh		6.912872	
Upk2		6.91238	
Cab39		6.9069757	
Gpx8		6.9002748	
Tnfrsf21		6.884873	
Mecom		6.877954	
